label,android.permission.INTERNET,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.READ_CONTACTS,android.permission.SYSTEM_ALERT_WINDOW,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.ACCESS_FINE_LOCATION,android.permission.CAMERA,android.permission.RECORD_AUDIO,android.permission.GET_ACCOUNTS,api_telephony_getDeviceId,api_sms_sendTextMessage,api_crypto_Cipher,api_reflection_Class_forName,api_net_HttpURLConnection,app_size_mb,min_sdk,target_sdk,cert_age_days,is_debuggable,obfuscation_score,background_service_score,network_call_freq,screen_overlay_score,sms_trigger_score
1,1,1,0,1,0,1,1,1,0,1,0.5361,0.8538,0.5726,0.9744,0.5338,12.05,22,28,4,0,0.74,0.9341,0.7565,0.8277,0.8155
0,1,1,1,0,1,0,0,0,0,0,0.102,0.0643,0.1686,0.1848,0.0439,58.54,24,31,1562,0,0.37,0.0766,0.2984,0.208,0.2936
1,0,1,1,0,1,1,1,1,1,0,0.5481,0.7195,0.6755,0.5631,0.4731,3.4,23,28,4,0,0.88,0.8491,0.6178,0.8561,0.9615
1,1,0,1,1,1,1,0,1,0,0,0.6916,0.4143,0.6916,0.5059,0.5879,7.67,22,29,0,0,0.88,0.6338,0.9117,0.9211,0.9018
1,1,0,1,1,1,1,1,0,1,1,0.7766,0.5746,0.7326,0.6298,0.4407,14.81,23,28,24,1,0.71,0.9665,0.6052,0.9923,0.976
1,1,0,1,0,1,0,1,0,1,0,0.9093,0.7802,0.8962,0.5231,0.4674,3.27,21,29,15,0,0.7,0.7279,0.6661,0.8845,0.6055
0,0,0,0,0,0,0,1,0,1,0,0.254,0.2604,0.1084,0.1009,0.2878,139.29,26,34,996,0,0.18,0.1613,0.2351,0.0563,0.17
0,1,0,0,0,0,0,1,0,1,0,0.2537,0.2502,0.2132,0.0168,0.0224,45.36,21,31,887,0,0.26,0.1301,0.222,0.2983,0.0211
1,1,1,1,1,1,0,1,1,0,1,0.7634,0.4553,0.9154,0.6787,0.7497,2.44,23,29,28,1,0.97,0.7507,0.8801,0.8286,0.6595
1,1,1,1,0,1,0,0,0,1,0,0.4145,0.5368,0.9949,0.6194,0.413,11.99,19,29,28,0,0.75,0.6971,0.8388,0.9091,0.7708
0,1,0,0,0,0,0,0,0,0,0,0.1037,0.0798,0.0143,0.0301,0.078,101.77,26,31,710,0,0.14,0.2774,0.1657,0.2213,0.2081
1,1,1,1,0,1,0,0,0,1,0,0.7016,0.7136,0.5348,0.6894,0.571,3.14,22,30,6,1,0.9,0.9986,0.8772,0.7303,0.9103
0,1,0,0,0,0,0,1,0,0,0,0.2861,0.1608,0.1743,0.201,0.1741,91.69,21,32,1809,0,0.11,0.0059,0.0623,0.0811,0.0626
0,0,0,0,0,0,0,0,1,0,1,0.1271,0.249,0.2036,0.2199,0.1795,68.22,25,33,671,0,0.08,0.1966,0.29,0.2532,0.0109
0,1,0,0,0,0,0,0,0,1,1,0.0481,0.0945,0.1715,0.1659,0.1841,93.64,21,34,748,0,0.18,0.2537,0.281,0.1243,0.1332
1,0,1,0,1,1,1,0,0,1,0,0.8579,0.9565,0.4358,0.7661,0.7606,1.03,20,29,21,0,0.94,0.6472,0.8042,0.6065,0.7477
0,0,0,0,0,0,1,0,1,0,0,0.0928,0.0008,0.1747,0.1709,0.1935,120.84,23,31,1781,0,0.14,0.2588,0.0524,0.1841,0.1222
1,1,1,1,0,1,1,1,0,1,1,0.9312,0.7106,0.6113,0.7991,0.528,12.51,20,28,14,0,0.74,0.6786,0.9909,0.7022,0.8262
0,1,0,1,0,0,0,1,0,0,1,0.0465,0.2393,0.1563,0.2096,0.1531,41.67,26,31,803,0,0.29,0.0605,0.2137,0.0357,0.0108
1,1,1,1,1,1,1,1,1,1,1,0.4209,0.8115,0.6462,0.4003,0.8155,13.7,21,29,0,0,0.77,0.9842,0.8719,0.8349,0.6321
1,1,1,0,0,1,1,1,0,0,0,0.7157,0.8264,0.589,0.8661,0.8799,4.07,23,30,14,0,0.74,0.7315,0.7864,0.7516,0.8038
1,1,1,1,1,1,1,0,0,1,0,0.8795,0.7568,0.7705,0.4696,0.8185,5.78,23,28,21,0,0.93,0.8957,0.7861,0.6381,0.8021
1,0,1,0,1,1,1,1,1,1,1,0.5381,0.6416,0.9134,0.8754,0.4692,2.67,22,29,20,0,0.72,0.6971,0.9588,0.9173,0.692
1,0,1,0,0,1,1,0,1,0,1,0.4652,0.8829,0.5472,0.7513,0.8923,10.28,19,29,17,0,0.87,0.9826,0.6726,0.632,0.8223
1,0,1,1,1,1,1,0,1,0,0,0.5429,0.7926,0.6501,0.8646,0.5913,10.51,21,28,24,0,0.79,0.9864,0.7963,0.8176,0.8361
1,1,1,1,1,0,1,1,1,0,1,0.5748,0.733,0.7771,0.756,0.7721,10.29,22,28,4,0,0.91,0.6928,0.7775,0.7595,0.611
0,1,0,0,0,0,0,0,0,0,1,0.0819,0.0503,0.0985,0.141,0.1296,18.73,24,31,831,0,0.35,0.2569,0.1085,0.0339,0.2736
1,1,1,1,1,1,1,1,1,0,1,0.5856,0.7526,0.8775,0.6419,0.4107,3.5,23,29,19,1,0.81,0.6676,0.6636,0.6765,0.6071
1,1,1,0,1,1,1,1,1,0,0,0.8099,0.9809,0.4584,0.547,0.5327,6.32,19,30,12,0,1.0,0.602,0.995,0.722,0.9279
0,1,0,0,0,0,0,0,0,0,1,0.0969,0.1165,0.0954,0.0057,0.2061,65.99,22,32,1549,0,0.13,0.1893,0.1662,0.0973,0.1025
1,1,1,1,0,1,1,0,0,1,1,0.8439,0.7016,0.6815,0.5841,0.7637,12.15,19,29,13,1,0.76,0.7902,0.7928,0.7806,0.6536
1,0,1,1,1,1,1,0,1,1,1,0.9778,0.4535,0.5373,0.8673,0.7409,8.04,22,30,26,0,0.85,0.723,0.6101,0.8466,0.7143
0,1,0,0,0,0,0,0,0,1,0,0.1376,0.0683,0.1093,0.1841,0.2121,31.45,25,31,1539,0,0.04,0.2101,0.194,0.2465,0.0031
1,0,1,1,1,1,0,1,0,0,1,0.4883,0.4685,0.4679,0.8403,0.7527,10.74,21,28,12,1,0.84,0.9182,0.7257,0.8636,0.8619
1,1,1,1,0,1,0,1,0,0,0,0.9121,0.8896,0.9029,0.9905,0.6145,14.93,22,30,30,0,0.73,0.6057,0.6037,0.681,0.6692
0,1,0,1,0,0,0,1,0,0,0,0.2595,0.1264,0.2978,0.1243,0.2269,71.79,23,34,1649,0,0.1,0.1674,0.2073,0.1311,0.0291
1,1,1,1,1,1,0,1,1,0,1,0.9747,0.8204,0.4167,0.854,0.608,11.51,20,28,5,0,0.75,0.6432,0.6073,0.8758,0.884
0,1,0,1,0,0,0,0,0,1,0,0.1639,0.0754,0.2865,0.2571,0.2276,83.37,21,32,1799,0,0.17,0.1407,0.1814,0.1167,0.0389
1,0,1,1,1,1,0,0,0,1,1,0.8696,0.7955,0.8182,0.9808,0.8097,7.73,22,29,25,0,0.98,0.8725,0.637,0.7913,0.6376
0,1,0,0,0,0,0,0,1,0,0,0.1794,0.0581,0.0156,0.2218,0.0803,32.53,26,31,777,0,0.1,0.182,0.0601,0.2511,0.0351
1,1,0,1,1,1,1,1,1,0,0,0.653,0.6464,0.6826,0.8141,0.7034,13.92,19,30,17,0,0.98,0.7591,0.626,0.9243,0.7439
0,1,0,0,0,1,0,0,0,0,0,0.2481,0.167,0.002,0.0331,0.1857,10.25,21,31,892,0,0.24,0.0667,0.2945,0.032,0.097
0,1,1,0,0,0,0,0,0,0,0,0.2798,0.1711,0.1688,0.2644,0.2239,82.41,22,32,1539,0,0.35,0.0393,0.0962,0.1994,0.1947
0,0,1,0,0,0,0,0,0,0,0,0.16,0.2866,0.1553,0.0264,0.0023,137.34,26,31,834,0,0.12,0.1877,0.0118,0.1883,0.0388
1,1,1,0,1,1,1,1,0,0,1,0.5995,0.9252,0.6123,0.8983,0.689,4.5,19,28,6,0,0.85,0.8686,0.8021,0.7118,0.7902
1,0,0,1,0,1,1,0,1,0,1,0.4914,0.9619,0.4197,0.5032,0.6635,12.56,22,30,29,0,0.8,0.7623,0.6401,0.7201,0.789
0,1,0,0,0,0,0,0,0,1,1,0.2102,0.1,0.2283,0.0221,0.0438,18.93,26,32,1413,0,0.23,0.1522,0.2145,0.1761,0.1921
0,1,0,1,0,1,0,0,0,0,0,0.1408,0.2034,0.2134,0.0886,0.0625,83.14,21,34,803,0,0.18,0.0272,0.2894,0.2873,0.1242
1,1,1,1,1,1,1,1,1,1,1,0.7588,0.6497,0.5174,0.4046,0.4926,6.04,23,30,3,0,0.73,0.9341,0.9055,0.7064,0.9666
0,1,0,0,0,0,0,0,0,0,0,0.155,0.2014,0.1012,0.1255,0.1004,127.79,25,34,976,0,0.36,0.2026,0.0964,0.0965,0.1562
1,0,1,1,1,1,0,1,0,1,1,0.9177,0.5857,0.9598,0.8123,0.4326,2.61,20,28,16,0,0.85,0.7106,0.9351,0.6007,0.915
1,0,1,1,0,1,1,0,0,0,1,0.4834,0.6221,0.5696,0.9972,0.7337,9.65,23,28,12,1,0.75,0.8456,0.9427,0.9475,0.6075
0,1,0,0,0,0,0,0,1,1,0,0.0881,0.1161,0.0599,0.1368,0.2856,43.81,25,34,1661,0,0.21,0.255,0.2834,0.0808,0.1994
1,0,1,1,1,1,1,1,1,0,0,0.6853,0.4514,0.7449,0.7683,0.9123,14.59,20,29,22,0,0.84,0.6766,0.759,0.6577,0.9619
1,0,1,1,1,1,0,0,1,1,0,0.604,0.4261,0.8308,0.5962,0.5187,9.2,20,29,10,0,0.71,0.821,0.9603,0.648,0.7846
0,1,0,0,0,0,0,0,1,0,0,0.0167,0.1557,0.1383,0.199,0.0031,112.23,25,34,1284,0,0.34,0.1401,0.0719,0.2962,0.2213
0,1,0,0,0,0,0,0,1,1,0,0.1408,0.0148,0.1296,0.2834,0.1385,32.26,23,34,1650,0,0.13,0.2296,0.2617,0.1428,0.0696
1,0,1,1,1,1,1,0,1,0,1,0.9476,0.7881,0.4451,0.5675,0.432,6.15,22,28,28,0,1.0,0.6353,0.9518,0.6666,0.9616
1,1,1,0,0,1,1,1,0,0,1,0.4636,0.8736,0.9543,0.8511,0.6595,2.06,20,28,28,1,0.83,0.9019,0.8452,0.7099,0.8399
1,1,0,0,0,0,1,1,0,1,0,0.9043,0.9536,0.6643,0.6745,0.7674,8.31,23,29,15,0,0.8,0.6287,0.7289,0.6384,0.6433
1,0,1,1,0,1,0,1,0,1,1,0.6439,0.4299,0.5552,0.6239,0.4553,13.43,21,28,1,0,0.79,0.7788,0.9823,0.6333,0.7057
1,0,1,1,1,1,0,0,1,0,0,0.685,0.5721,0.6588,0.6801,0.7616,1.76,23,29,26,1,0.9,0.6517,0.6477,0.8397,0.686
1,0,1,1,1,1,0,1,1,0,0,0.5122,0.6388,0.6098,0.4944,0.7605,6.77,19,29,27,0,0.92,0.6599,0.7824,0.7789,0.8501
1,1,1,1,1,1,1,0,1,1,1,0.4438,0.7157,0.5481,0.8525,0.8177,12.56,23,28,10,0,0.76,0.671,0.7227,0.6881,0.6599
0,1,0,0,0,0,0,0,1,0,0,0.0367,0.1079,0.0508,0.1773,0.2107,120.84,24,31,1010,0,0.26,0.086,0.0867,0.2255,0.1991
0,1,0,0,0,0,0,0,0,0,1,0.1797,0.2176,0.1749,0.053,0.2259,125.4,24,34,674,0,0.33,0.0474,0.161,0.0044,0.2164
0,1,0,1,0,0,0,0,0,0,1,0.1573,0.2962,0.0878,0.2902,0.0261,98.35,23,34,385,0,0.29,0.2582,0.2111,0.1022,0.2802
0,1,0,0,0,0,0,0,0,0,0,0.034,0.0818,0.0915,0.193,0.0035,133.59,22,34,975,0,0.35,0.2081,0.1774,0.0062,0.0279
0,1,1,0,0,0,0,0,1,1,0,0.2166,0.2467,0.1723,0.1701,0.2791,39.98,26,34,1346,0,0.04,0.289,0.2577,0.1696,0.113
1,0,1,1,1,0,1,1,0,1,1,0.6061,0.7167,0.9014,0.4749,0.6871,12.35,21,30,29,1,0.79,0.9978,0.6673,0.6264,0.9255
1,1,1,0,1,1,1,0,1,1,0,0.4557,0.6736,0.6878,0.6155,0.9067,6.44,22,30,19,1,0.88,0.6466,0.9735,0.8832,0.8574
1,0,0,1,0,1,0,1,0,0,0,0.6901,0.8618,0.8641,0.4929,0.8255,12.21,23,28,25,1,0.72,0.9242,0.8817,0.8811,0.7973
1,1,1,1,0,1,1,0,1,0,1,0.6094,0.4374,0.9116,0.4148,0.4782,9.25,21,29,30,1,0.71,0.846,0.6016,0.8236,0.8293
0,1,1,1,0,0,0,0,0,1,0,0.0671,0.1363,0.2292,0.2216,0.1065,101.68,24,34,653,0,0.39,0.1946,0.0988,0.2737,0.1496
1,1,1,1,1,1,0,0,1,0,1,0.6177,0.456,0.5365,0.8754,0.4017,2.23,19,29,14,1,0.96,0.8741,0.9279,0.8957,0.9959
0,1,1,0,0,0,0,0,0,0,0,0.141,0.274,0.0031,0.0615,0.1269,97.05,23,34,927,0,0.09,0.0756,0.0781,0.266,0.2455
1,1,1,1,1,1,1,1,0,1,0,0.9574,0.5262,0.6474,0.7752,0.6455,9.98,21,29,6,0,0.77,0.8757,0.7316,0.9408,0.7339
1,1,0,1,1,1,1,1,1,0,1,0.9277,0.7123,0.8063,0.6571,0.8258,13.58,23,29,25,1,0.76,0.9455,0.9566,0.9577,0.8165
0,1,0,0,0,0,0,0,0,1,0,0.1502,0.2105,0.0854,0.1649,0.1771,107.2,21,31,1344,0,0.3,0.1547,0.2354,0.1974,0.1813
0,1,0,0,0,1,0,0,0,0,0,0.0426,0.1097,0.2958,0.0122,0.0075,63.31,23,33,1215,0,0.3,0.22,0.0917,0.2055,0.0483
0,1,1,0,1,0,1,0,0,0,0,0.2827,0.0492,0.112,0.1175,0.2417,95.15,23,31,1903,0,0.05,0.1368,0.2483,0.0854,0.188
0,1,0,1,0,0,0,0,0,0,0,0.2573,0.1721,0.2142,0.2081,0.0741,106.08,25,31,1074,0,0.29,0.1339,0.253,0.2254,0.1539
1,1,1,1,1,0,1,1,0,1,0,0.8193,0.8489,0.5667,0.9762,0.8682,7.16,23,30,8,0,0.9,0.9275,0.9059,0.8432,0.6149
1,1,1,1,1,0,1,0,1,0,1,0.9532,0.9173,0.697,0.9931,0.4606,2.29,22,29,26,0,0.77,0.8247,0.6056,0.6085,0.7169
0,1,0,0,1,0,0,1,0,0,1,0.193,0.0426,0.0232,0.0377,0.0928,96.05,22,34,925,0,0.33,0.0824,0.2778,0.0544,0.175
0,0,0,0,1,0,0,0,0,0,0,0.0141,0.0257,0.1367,0.127,0.1129,23.63,26,31,1298,0,0.28,0.158,0.0065,0.2866,0.246
0,1,0,0,0,0,0,0,0,0,0,0.2549,0.2848,0.1014,0.223,0.1863,90.98,21,34,1739,0,0.01,0.0098,0.237,0.1909,0.1003
0,0,0,0,0,0,1,0,0,0,0,0.0831,0.2336,0.0306,0.2834,0.2673,116.58,26,32,1610,0,0.38,0.2032,0.2139,0.0405,0.2189
0,0,0,1,0,0,0,1,0,1,1,0.0065,0.2971,0.2674,0.1955,0.2896,60.78,21,31,1843,0,0.18,0.0802,0.1761,0.0155,0.1304
1,1,1,1,1,1,0,1,0,1,0,0.545,0.423,0.7607,0.8444,0.6567,5.72,21,30,28,0,0.75,0.9029,0.6715,0.9876,0.6635
0,1,1,0,0,0,0,1,0,0,0,0.0099,0.018,0.099,0.216,0.027,56.3,24,32,1769,0,0.2,0.1694,0.0774,0.1179,0.2954
0,1,0,0,0,0,0,1,0,0,1,0.272,0.2462,0.2518,0.1024,0.0174,147.7,22,32,418,0,0.12,0.216,0.2311,0.1967,0.1667
1,1,1,1,1,1,1,1,0,1,1,0.8997,0.8382,0.9033,0.4265,0.627,3.67,22,30,12,1,0.95,0.9403,0.688,0.8111,0.8574
1,0,1,1,1,1,1,0,1,1,0,0.9906,0.5074,0.7654,0.6244,0.7335,12.37,20,29,5,1,0.81,0.6054,0.8213,0.6917,0.8792
1,0,1,1,0,1,1,0,1,1,0,0.9171,0.4845,0.937,0.723,0.5545,3.75,20,29,24,0,0.81,0.997,0.6656,0.8271,0.7447
0,1,0,0,0,0,0,0,1,0,0,0.1355,0.0284,0.0702,0.2534,0.1175,18.39,21,31,704,0,0.07,0.0159,0.0482,0.2005,0.2083
1,1,1,1,1,1,0,1,0,0,1,0.469,0.6005,0.6357,0.7347,0.4274,3.05,21,29,4,1,0.9,0.8666,0.9741,0.7226,0.7387
1,1,1,1,0,1,0,0,1,0,0,0.594,0.8095,0.5887,0.5014,0.8774,2.05,22,28,0,0,0.81,0.9453,0.7894,0.945,0.7723
1,0,1,1,0,1,1,1,0,1,1,0.5049,0.4861,0.6371,0.9841,0.71,12.2,19,29,19,0,0.94,0.9218,0.7779,0.6008,0.7711
1,1,1,1,0,1,1,1,1,1,1,0.4031,0.6267,0.8763,0.423,0.9049,13.87,20,30,12,0,0.79,0.8965,0.9257,0.7895,0.7698
0,1,1,0,0,0,0,0,0,0,1,0.0843,0.136,0.0081,0.2224,0.0329,13.37,24,32,502,0,0.15,0.2008,0.2783,0.1763,0.2224
0,1,1,0,0,0,0,0,0,0,0,0.0974,0.2521,0.2181,0.2783,0.0558,21.34,25,33,428,0,0.05,0.2834,0.2458,0.1802,0.185
1,1,1,1,1,1,0,1,1,0,0,0.5624,0.4861,0.9604,0.5209,0.4841,7.06,19,30,15,1,0.9,0.7965,0.6997,0.6905,0.9981
1,1,1,1,1,1,0,1,0,1,1,0.7042,0.7338,0.4093,0.5023,0.8495,8.54,23,28,1,0,0.92,0.6242,0.801,0.8214,0.7953
1,1,1,1,0,0,1,1,1,1,1,0.561,0.6349,0.4452,0.9697,0.5071,2.79,23,28,7,1,0.81,0.9958,0.6431,0.6462,0.8109
0,1,0,0,0,0,0,0,0,1,0,0.2134,0.264,0.0844,0.2024,0.167,74.62,23,32,1232,0,0.32,0.2288,0.138,0.2633,0.2249
1,1,1,1,1,1,1,0,0,1,1,0.7232,0.5314,0.6394,0.6146,0.8618,3.54,23,28,13,1,0.88,0.7916,0.8012,0.6298,0.8479
1,0,1,1,0,1,1,0,0,1,1,0.7194,0.8618,0.6323,0.8396,0.443,14.75,20,28,30,0,0.91,0.6346,0.922,0.6102,0.6594
1,0,1,1,1,1,0,1,1,1,1,0.4951,0.6916,0.4655,0.7795,0.7596,5.29,20,28,9,0,0.74,0.9202,0.6431,0.949,0.928
0,1,0,0,0,0,0,1,0,1,0,0.1097,0.1356,0.0176,0.2047,0.0963,107.01,24,33,634,0,0.1,0.1541,0.0174,0.1553,0.0915
0,1,1,0,0,1,1,0,1,1,1,0.2688,0.2859,0.294,0.1582,0.255,84.92,23,31,1828,0,0.09,0.0839,0.0075,0.0527,0.2963
0,1,0,0,1,0,0,0,1,1,0,0.1408,0.0105,0.251,0.1831,0.19,44.51,25,34,1677,0,0.24,0.1593,0.0307,0.0786,0.0058
1,1,1,1,0,1,1,1,0,0,1,0.6305,0.5642,0.6817,0.903,0.5519,9.52,21,30,22,0,0.73,0.6021,0.6135,0.8639,0.7002
0,1,0,0,0,0,0,0,0,0,0,0.2708,0.1819,0.1945,0.2968,0.2382,31.28,21,31,1142,0,0.17,0.1257,0.0103,0.2055,0.0269
1,1,1,1,0,1,1,1,0,1,0,0.4068,0.9753,0.5892,0.4656,0.9623,13.71,23,30,18,1,0.76,0.6425,0.9971,0.7837,0.6861
0,1,1,0,0,0,0,0,0,0,0,0.1273,0.0056,0.1527,0.0715,0.0673,78.87,22,32,969,0,0.39,0.2167,0.1023,0.0837,0.1909
0,1,0,1,0,0,0,0,0,0,0,0.1001,0.0871,0.124,0.0322,0.1202,106.21,25,32,1872,0,0.18,0.2469,0.0757,0.1785,0.0079
1,0,0,0,1,1,0,0,1,1,1,0.9012,0.5378,0.4373,0.8067,0.8752,13.84,22,29,10,0,0.76,0.7985,0.9617,0.8804,0.7209
1,1,1,1,1,1,0,1,0,1,1,0.4195,0.4739,0.9031,0.4662,0.958,11.79,22,30,21,0,0.77,0.782,0.923,0.6815,0.7239
0,1,0,0,0,0,0,0,0,0,0,0.2148,0.2064,0.1918,0.0274,0.175,139.16,25,31,1729,0,0.01,0.2581,0.1407,0.0197,0.0114
0,0,0,0,0,0,0,0,0,0,0,0.0912,0.2967,0.2066,0.1007,0.1336,22.47,23,32,1052,0,0.09,0.1458,0.2415,0.0579,0.08
1,0,1,0,1,1,1,0,1,1,1,0.5194,0.9846,0.6318,0.9998,0.6876,3.94,19,30,7,0,0.75,0.7906,0.8177,0.6172,0.642
0,1,0,0,1,0,0,0,0,0,0,0.2417,0.258,0.2365,0.1249,0.0092,57.05,26,31,671,0,0.09,0.0836,0.1033,0.0816,0.003
1,1,1,0,1,1,1,0,0,0,0,0.8686,0.7487,0.9037,0.6718,0.5815,3.48,19,30,24,0,0.72,0.9644,0.7866,0.9715,0.9256
1,1,1,1,0,1,1,1,0,1,0,0.4841,0.4453,0.84,0.6524,0.9238,8.89,23,29,18,0,0.87,0.6073,0.7963,0.7156,0.9404
0,1,1,0,0,0,0,0,0,0,0,0.1229,0.2576,0.1444,0.2089,0.01,64.98,24,32,1125,0,0.31,0.293,0.0928,0.2174,0.0323
1,1,1,1,1,1,1,1,1,0,1,0.8253,0.7408,0.816,0.913,0.4583,14.2,19,30,29,0,0.87,0.8725,0.7163,0.7464,0.9426
1,1,1,1,1,0,0,1,1,0,1,0.9294,0.7888,0.9615,0.9007,0.4855,3.71,22,28,1,0,0.86,0.6018,0.7317,0.731,0.8818
1,1,1,1,1,1,1,1,1,1,1,0.7815,0.6341,0.8144,0.8608,0.6798,9.7,20,28,12,1,0.85,0.8091,0.6628,0.727,0.9855
0,1,0,0,1,0,0,0,0,0,0,0.0391,0.2087,0.2182,0.2994,0.0694,43.08,24,31,1599,0,0.15,0.0862,0.0697,0.1015,0.0854
0,1,0,0,1,0,0,0,0,0,0,0.2502,0.104,0.1952,0.2358,0.2779,58.1,26,32,457,0,0.31,0.079,0.114,0.1447,0.1318
0,1,0,0,0,0,1,0,0,0,0,0.026,0.2311,0.1197,0.2481,0.2365,26.77,25,34,1053,0,0.34,0.2401,0.1282,0.2993,0.2954
0,0,0,0,0,0,0,0,0,0,0,0.1571,0.0163,0.2921,0.1613,0.1732,65.57,22,33,768,0,0.13,0.1788,0.1904,0.1968,0.0773
0,1,1,0,0,0,0,0,1,0,0,0.1335,0.1736,0.2664,0.2259,0.0647,110.22,26,34,722,0,0.04,0.1576,0.2769,0.2488,0.02
0,1,0,0,1,1,0,0,0,0,1,0.167,0.2245,0.1174,0.1213,0.2046,45.56,21,34,897,0,0.06,0.2873,0.1865,0.0005,0.1234
1,0,1,1,1,1,1,0,1,0,0,0.5017,0.748,0.7379,0.4277,0.6421,5.39,21,29,5,0,0.96,0.9427,0.845,0.9415,0.84
0,1,0,0,0,0,0,0,0,0,0,0.2912,0.281,0.2078,0.0935,0.2224,135.47,23,32,1535,0,0.25,0.0891,0.2322,0.227,0.1149
0,1,1,0,0,0,0,0,0,0,0,0.1424,0.0505,0.0441,0.0679,0.0014,44.15,22,34,531,0,0.23,0.2044,0.2208,0.0019,0.081
0,1,0,0,0,0,0,0,0,0,0,0.0712,0.1733,0.0985,0.0872,0.0436,36.5,21,32,1521,0,0.25,0.1029,0.0979,0.2498,0.2203
0,1,0,0,1,0,0,0,0,0,0,0.2656,0.1198,0.0651,0.1629,0.1412,37.33,21,33,490,0,0.16,0.077,0.1484,0.0474,0.2194
0,1,0,0,0,0,1,0,0,1,0,0.1488,0.0975,0.2438,0.0709,0.1138,148.12,21,33,583,0,0.12,0.161,0.05,0.0557,0.083
1,1,1,1,0,1,1,0,1,0,1,0.6476,0.7983,0.7213,0.5497,0.6016,11.23,22,29,16,0,0.92,0.6051,0.7033,0.8178,0.658
0,1,1,0,0,0,0,1,0,0,0,0.016,0.1546,0.0976,0.2154,0.029,88.07,25,32,1822,0,0.02,0.1043,0.2181,0.074,0.2488
1,0,1,1,1,1,0,1,1,1,1,0.719,0.567,0.9043,0.8124,0.486,8.09,23,28,18,0,0.77,0.6557,0.9809,0.6496,0.7616
1,1,1,1,0,1,1,1,0,1,0,0.6438,0.5194,0.9332,0.7066,0.9889,10.24,23,30,24,0,0.73,0.7208,0.7839,0.9085,0.6807
0,0,0,0,0,0,0,0,1,0,0,0.0867,0.2806,0.238,0.0236,0.1726,13.64,23,31,904,0,0.02,0.2685,0.0862,0.037,0.1956
0,1,1,0,0,1,0,0,1,0,0,0.2064,0.145,0.1719,0.1681,0.0461,10.13,25,33,815,0,0.28,0.272,0.029,0.09,0.1812
1,1,1,1,1,1,1,0,0,1,1,0.7261,0.7495,0.6791,0.6328,0.6371,9.4,21,29,10,0,0.74,0.8551,0.676,0.8743,0.8676
1,0,1,1,0,1,1,1,1,1,1,0.8067,0.7681,0.8415,0.9788,0.5157,1.44,23,30,24,0,0.76,0.7158,0.8324,0.9471,0.8721
1,0,1,1,0,1,1,1,1,1,1,0.9365,0.9663,0.7407,0.4082,0.6185,14.73,19,28,25,0,0.81,0.9292,0.612,0.6395,0.8264
0,1,0,0,0,0,0,0,0,0,1,0.2311,0.2468,0.0745,0.1673,0.1199,104.32,26,32,1953,0,0.33,0.154,0.2819,0.1673,0.0794
1,0,1,1,0,0,1,1,1,1,0,0.5364,0.8647,0.619,0.6975,0.8652,2.06,20,28,25,0,0.9,0.6329,0.6332,0.6298,0.732
0,1,0,0,0,0,0,0,0,1,0,0.2891,0.0849,0.1291,0.1655,0.1415,37.75,25,32,452,0,0.21,0.1246,0.1683,0.0845,0.2481
